Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,chlorophyll a,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,total carotenoids,total chlorophylls,total tocopherols
1C-3,1,C,sample,Site Reference,4.131216161,0.615103875,1.502421104,20.4449233,8.293760031,12.80012207,42.03898756,10.17346589,22.12091851,77.87908149,10.41128501,45.16089036,54.83910964,77.87908149
1C-mean,1,C,mean,Site Reference,4.115098937,0.646733428,1.612868808,21.53826943,8.222870194,10.58375301,38.07969809,15.20070811,21.75698408,78.24301592,10.48247243,51.33654891,48.66345109,78.24301592
1C-dev,1,C,dev,Site Reference,0.146484081,0.022612877,0.080430698,1.189796221,0.193092896,1.637040095,4.9324152,4.859206676,0.304101285,0.304101285,0.177852055,6.294892791,6.294892791,0.304101285
2A (outlier),2,A,sample,UV Filtered,4.554435196,1.39556814,2.441215949,24.07487125,9.713622905,8.493712763,37.48947381,11.83709999,34.38231516,65.61768484,13.55040699,54.01681343,45.98318657,65.61768484
2A-2,2,A,sample,UV Filtered,2.736600411,0.556351962,1.865798457,20.19591266,6.24049387,13.12890274,37.26397356,18.01196635,18.57397272,81.42602728,8.662644289,49.6071237,50.3928763,81.42602728
2A-3,2,A,sample,UV Filtered,4.324727217,1.109882515,1.771155832,17.73562991,6.239112121,11.09183362,44.91691316,12.81074562,19.64396655,80.35603345,9.120150468,43.99125322,56.00874678,80.35603345
2A-4,2,A,sample,UV Filtered,3.528052177,0.714580279,1.629615945,21.69338499,6.606660526,15.60498823,39.38670847,10.83600939,21.51372223,78.48627777,8.95085675,45.0083033,54.9916967,78.48627777
2A-mean,2,A,mean,UV Filtered,3.529793268,0.793604919,1.755523411,19.87497585,6.362088839,13.27524153,40.52253173,13.88624045,19.91055383,80.08944617,8.911217169,46.20222674,53.79777326,80.08944617
2A-dev,2,A,dev,UV Filtered,0.648351223,0.232784147,0.097052646,1.631605883,0.172939218,1.845391087,3.225878894,3.026671044,1.214861684,1.214861684,0.188867587,2.443166006,2.443166006,1.214861684
2B,2,B,sample,UV Transmitted,4.492552875,1.024290105,1.394715034,20.27199766,6.516508793,13.31870887,37.91765583,15.06357084,19.11759293,80.88240707,8.935513931,48.7636353,51.2363647,80.88240707
2B-2,2,B,sample,UV Transmitted,3.565071844,0.635658269,1.181677066,21.18021254,7.461598618,15.00249666,40.61860262,10.35468239,19.71118144,80.28881856,9.278933952,44.37890072,55.62109928,80.28881856
2B-3,2,B,sample,UV Transmitted,4.926734192,0.940390467,1.634350316,17.66199733,6.93028298,12.71207449,44.64595973,10.5482105,20.65997254,79.34002746,9.505023763,42.64196578,57.35803422,79.34002746
2B-mean,2,B,mean,UV Transmitted,4.328119637,0.866779614,1.403580805,19.70473584,6.969463464,13.67776001,41.06073939,11.98882124,19.8295823,80.1704177,9.239823882,45.2615006,54.7384994,80.1704177
2B-dev,2,B,dev,UV Transmitted,0.567925937,0.166978231,0.184909382,1.491263232,0.386824704,0.968915794,2.764553253,2.175611346,0.635215337,0.635215337,0.234140357,2.575907134,2.575907134,0.635215337
2C,2,C,sample,Site Reference,5.21456086,1.085546039,2.220498953,24.50879339,10.11463823,10.25507319,36.63717945,9.963709886,27.8555497,72.1444503,13.42068322,53.10774735,46.89225265,72.1444503
2C-2,2,C,sample,Site Reference,3.744396476,0.598419093,1.565383437,23.00546512,9.749531124,11.15872998,40.41200676,9.766068015,27.02390655,72.97609345,11.91333365,48.42926326,51.57073674,72.97609345
2C-3,2,C,sample,Site Reference,3.532837283,0.509081375,1.300420171,21.34877002,8.770421955,11.23461739,43.39151601,9.912335802,25.63728197,74.36271803,10.5799235,45.37386661,54.62613339,74.36271803
2C-mean,2,C,mean,Site Reference,4.16393154,0.731015502,1.695434187,22.95434284,9.544863768,10.88280685,40.14690074,9.880704568,26.83891274,73.16108726,11.97131346,48.97029241,51.02970759,73.16108726
2C-dev,2,C,dev,Site Reference,0.747910779,0.253330131,0.386713623,1.2905805,0.567536132,0.444954593,2.763810953,0.083729638,0.915002719,0.915002719,1.160459732,3.180436266,3.180436266,0.915002719
3A,3,A,sample,UV Filtered,4.661692596,1.229677285,2.24130134,20.02455508,7.371712319,10.5377613,40.95243081,12.98086927,30.14200353,69.85799647,10.84269094,48.50980789,51.49019211,69.85799647
3A-2,3,A,sample,UV Filtered,4.67289513,1.021404726,1.66243414,20.0287245,6.584923115,14.94327294,43.94800083,7.138344617,28.56966663,71.43033337,9.26876198,41.10872623,58.89127377,71.43033337
3A-3,3,A,sample,UV Filtered,4.623995171,1.350745329,1.598837724,18.00371068,6.842239491,11.58468813,47.501758,8.494025473,23.4083625,76.5916375,9.791822544,40.91355387,59.08644613,76.5916375
3A-mean,3,A,mean,UV Filtered,4.652860966,1.200609113,1.834191068,19.35233008,6.932958308,12.35524079,44.13406321,9.537746454,27.37334422,72.62665578,9.967758489,43.51069599,56.48930401,72.62665578
3A-dev,3,A,dev,UV Filtered,0.020917294,0.136014772,0.289038874,0.953619447,0.327548206,1.879263464,2.676986623,2.496769739,2.876209411,2.876209411,0.654486154,3.535803809,3.535803809,2.876209411
3B,3,B,sample,UV Transmitted,4.378616339,0.950575482,1.850365605,21.98510711,7.747887202,12.52326668,38.59918218,11.9649994,22.63434543,77.36565457,10.54882829,48.87755114,51.12244886,77.36565457
3B-2,3,B,sample,UV Transmitted,4.845745634,0.993134812,1.768668883,20.4327197,7.701264465,14.86064432,47.7397668,1.658055384,24.96990019,75.03009981,10.46306816,37.39958888,62.60041112,75.03009981
3B-3,3,B,sample,UV Transmitted,4.837570749,0.711716799,1.613326374,17.0909986,6.144712654,14.64059501,47.05814405,7.902935765,25.08908758,74.91091242,8.469755827,38.30126094,61.69873906,74.91091242
3B-mean,3,B,mean,UV Transmitted,4.687310907,0.885142364,1.744120287,19.83627513,7.197954774,14.00816867,44.46569768,7.175330183,24.23111107,75.76888893,9.827217425,41.52613365,58.47386635,75.76888893
3B-dev,3,B,dev,UV Transmitted,0.218305535,0.123855142,0.098315392,2.04203887,0.744997826,1.053820308,4.157575853,4.239129718,1.130131788,1.130131788,0.960508613,5.211254323,5.211254323,1.130131788
3C,3,C,sample,Site Reference,4.733784244,0.949367525,1.838312542,24.60706768,8.633237883,11.49337777,34.9041777,12.84067465,21.21604302,78.78395698,11.42091795,53.60244453,46.39755547,78.78395698
3C-2,3,C,sample,Site Reference,4.14592041,0.809897567,1.627680771,21.03229058,8.86877485,11.68668306,39.31413452,12.51461825,21.57097528,78.42902472,11.30635319,48.99918242,51.00081758,78.42902472
3C-3,3,C,sample,Site Reference,4.382237189,0.727832551,1.594505457,18.42467608,8.109883655,10.83834127,44.10885111,11.81367268,22.71462262,77.28537738,10.43222166,45.05280762,54.94719238,77.28537738
3C-mean,3,C,mean,Site Reference,4.420647281,0.829032548,1.686832923,21.35467811,8.537298796,11.33946737,39.44238778,12.38965519,21.83388031,78.16611969,11.05316427,49.21814486,50.78185514,78.16611969
3C-dev,3,C,dev,Site Reference,0.241526359,0.091447788,0.107965138,2.534224634,0.317156315,0.363030996,3.758886343,0.428481883,0.639413529,0.639413529,0.441556761,3.493807018,3.493807018,0.639413529
4A (outlier),4,A,sample,UV Filtered,4.604716968,1.047167164,2.765924011,24.29673786,7.913139641,12.09486532,38.91641938,8.361029658,24.92149034,75.07850966,11.72623082,48.9887153,51.0112847,75.07850966
4A-2,4,A,sample,UV Filtered,4.13631319,0.821324718,1.627800005,21.83872474,7.506215313,10.35322074,43.27753948,10.43886181,21.22204652,78.77795348,9.955340037,46.36923978,53.63076022,78.77795348
4A-3,4,A,sample,UV Filtered,4.10874024,1.255025375,1.774000709,22.5050568,6.909416178,14.50127963,42.40921517,6.537265899,20.75268581,79.24731419,9.938442262,43.0895052,56.9104948,79.24731419
4A-4,4,A,sample,UV Filtered,4.416956917,0.751921336,1.9167366,21.82112442,6.905856151,16.05052329,41.14973745,6.987143836,22.54300569,77.45699431,9.574514088,42.79973926,57.20026074,77.45699431
4A-mean,4,A,mean,UV Filtered,4.220670116,0.942757143,1.772845771,22.05496865,7.107162548,13.63500789,42.2788307,7.987757183,21.50591267,78.49408733,9.822765462,44.08616141,55.91383859,78.49408733
4A-dev,4,A,dev,UV Filtered,0.139251447,0.22261745,0.117960698,0.318341481,0.28217666,2.405221283,0.873550399,1.742896626,0.757956161,0.757956161,0.175675728,1.618708578,1.618708578,0.757956161
4B,4,B,sample,UV Transmitted,5.074722511,1.442427712,1.743922965,21.05026169,6.301947439,13.96226678,41.28904749,9.135403423,16.03040344,83.96959656,9.488298116,44.74868574,55.25131426,83.96959656
4B-2,4,B,sample,UV Transmitted,5.103584396,1.640453288,1.624164452,18.64766107,5.427062591,13.49540756,47.19504725,6.866619397,15.79392061,84.20607939,8.69168033,39.3095452,60.6904548,84.20607939
4B-3,4,B,sample,UV Transmitted,4.444561978,1.470273638,1.533350482,19.0360277,5.202342756,15.88490702,46.39251512,6.036021305,15.14452941,84.85547059,8.205966876,37.72257786,62.27742214,84.85547059
4B-mean,4,B,mean,UV Transmitted,4.874289628,1.517718212,1.633812633,19.57798349,5.643784262,14.44752712,44.95886995,7.346014708,15.65628449,84.34371551,8.795315107,40.59360293,59.40639707,84.34371551
4B-dev,4,B,dev,UV Transmitted,0.304091699,0.087528178,0.086236142,1.053062039,0.474347852,1.034097066,2.615557577,1.309938237,0.374522782,0.374522782,0.528613581,3.008670933,3.008670933,0.374522782
4C,4,C,sample,Site Reference,3.523488945,0.560808485,1.037298179,20.32998702,6.336967929,4.993885914,41.99364982,21.2239137,14.46346706,85.53653294,7.935074593,53.01246427,46.98753573,85.53653294
4C-2,4,C,sample,Site Reference,4.632882836,0.778332133,1.386818618,20.59098008,6.121347283,12.25945325,43.9271491,10.30303669,16.2943064,83.7056936,8.286498034,43.81339765,56.18660235,83.7056936
4C-3,4,C,sample,Site Reference,4.314257381,0.749307973,1.618925934,20.72418564,6.762166108,13.40349177,39.09207113,13.33559407,14.9422262,85.0577738,9.130400015,47.5044371,52.4955629,85.0577738
4C-mean,4,C,mean,Site Reference,4.156876387,0.69614953,1.34768091,20.54838425,6.406827107,10.21894364,41.67095668,14.95418149,15.23333322,84.76666678,8.450657547,48.11009967,51.88990033,84.76666678
4C-dev,4,C,dev,Site Reference,0.466379877,0.096431321,0.239055825,0.16372526,0.266236011,3.724077267,1.987056936,4.60298871,0.775263673,0.775263673,0.501605406,3.77984365,3.77984365,0.775263673
5A,5,A,sample,UV Filtered,4.222592328,0.965593006,1.501882555,23.69646206,9.103473557,11.4895328,38.84312934,10.17733436,31.83749244,68.16250756,11.57094912,49.66733787,50.33266213,68.16250756
5A-2,5,A,sample,UV Filtered,3.789852345,0.707248051,1.60910414,21.57150481,7.723643079,10.8498833,41.99545961,11.75330467,28.78779981,71.21220019,10.03999527,47.15465709,52.84534291,71.21220019
5A-3,5,A,sample,UV Filtered,4.199184047,0.826964691,1.64223287,20.94489856,6.660638553,12.92282024,45.30664502,7.496616021,26.77829682,73.22170318,9.129836114,41.77053474,58.22946526,73.22170318
5A-mean,5,A,mean,UV Filtered,4.070542907,0.833268583,1.584406522,22.07095514,7.82925173,11.75407878,42.04841132,9.809085016,29.13452969,70.86547031,10.24692683,46.1975099,53.8024901,70.86547031
5A-dev,5,A,dev,UV Filtered,0.198708128,0.10556304,0.059900095,1.177529452,1.000075198,0.866700766,2.638984864,1.757186245,2.079908861,2.079908861,1.007264837,3.294133469,3.294133469,2.079908861
5B,5,B,sample,UV Transmitted,4.386073276,0.908103767,1.574445844,21.86955604,6.348890236,13.9324448,39.28225834,11.6982277,21.46671082,78.53328918,8.831439847,46.78529686,53.21470314,78.53328918
5B-2,5,B,sample,UV Transmitted,4.468864939,0.890510034,1.610316001,20.38951991,5.607912415,14.54289175,42.17218222,10.31780275,18.63524754,81.36475246,8.108738449,43.28492604,56.71507396,81.36475246
5B-3,5,B,sample,UV Transmitted,4.285018803,0.840048993,1.555244558,18.86748433,5.761090731,13.36320951,45.50863912,9.819263959,20.78820359,79.21179641,8.156384282,41.12815137,58.87184863,79.21179641
5B-mean,5,B,mean,UV Transmitted,4.379985673,0.879554264,1.580002134,20.37552009,5.905964461,13.94618202,42.32102656,10.6117648,20.29672065,79.70327935,8.365520859,43.73279142,56.26720858,79.70327935
5B-dev,5,B,dev,UV Transmitted,0.075178209,0.028843078,0.022823529,1.225630623,0.319377865,0.481701206,2.54408731,0.794747946,1.207052248,1.207052248,0.33002819,2.33113153,2.33113153,1.207052248
5C,5,C,sample,Site Reference,4.017353562,0.599367508,1.597112518,23.41722322,8.098596607,9.240021188,33.07456593,19.95575947,22.64206906,77.35793094,10.29507663,57.68541289,42.31458711,77.35793094
5C-2,5,C,sample,Site Reference,4.040760379,0.646121309,1.46189598,21.44423788,7.738019465,9.984913972,41.3273802,13.35667081,22.778232,77.221768,9.846036754,48.68770583,51.31229417,77.221768
5C-3,5,C,sample,Site Reference,3.772685002,0.593090785,1.405466422,20.60192339,7.088279609,11.07347614,41.76951583,13.69556283,19.51331409,80.48668591,9.086836816,47.15700803,52.84299197,80.48668591
5C-mean,5,C,mean,Site Reference,3.943599648,0.612859867,1.488158307,21.82112816,7.641631894,10.09947043,38.72382065,15.66933104,21.64453838,78.35546162,9.742650068,51.17670891,48.82329109,78.35546162
5C-dev,5,C,dev,Site Reference,0.121232097,0.023658571,0.080412847,1.179834168,0.418053452,0.752875223,3.998702306,3.034118598,1.508028035,1.508028035,0.498649823,4.644579599,4.644579599,1.508028035
6A,6,A,sample,UV Filtered,4.263353809,2.194496389,2.169157429,20.38304191,8.071316678,12.08570208,42.3284722,8.504459512,28.38063776,71.61936224,12.4349705,45.58582572,54.41417428,71.61936224
6A-2,6,A,sample,UV Filtered,3.794297878,1.011499258,1.316296668,19.56980705,7.017264802,12.9540606,45.66832529,8.668448447,22.34981014,77.65018986,9.345060729,41.37761411,58.62238589,77.65018986
6A-3,6,A,sample,UV Filtered,4.393588868,0.963528692,1.486525399,20.27343305,8.01268341,12.5851218,42.07654848,10.2085703,24.87417759,75.12582241,10.4627375,45.33832972,54.66167028,75.12582241
6A-mean,6,A,mean,UV Filtered,4.150413518,1.389841446,1.657326499,20.07542734,7.70042163,12.54162816,43.35778199,9.12715942,25.20154183,74.79845817,10.74758958,44.10058985,55.89941015,74.79845817
6A-dev,6,A,dev,UV Filtered,0.257363627,0.569313901,0.368530986,0.360316924,0.483657526,0.355837418,1.637034749,0.767598079,2.472932936,2.472932936,1.277430003,1.928083892,1.928083892,2.472932936
6B,6,B,sample,UV Transmitted,5.363336349,1.573376169,3.161960422,21.595397,7.625078838,13.87052922,36.3245595,10.4857625,26.57270559,73.42729441,12.36041543,49.80491128,50.19508872,73.42729441
6B-2,6,B,sample,UV Transmitted,3.778794406,1.20708022,1.675015224,18.91683362,6.992017217,13.51092445,45.69381799,8.225516877,23.39198118,76.60801882,9.874112661,40.79525757,59.20474243,76.60801882
6B-3,6,B,sample,UV Transmitted,3.923939529,0.772108637,1.006834511,19.1043906,6.373672474,15.61404292,39.85536472,13.34964661,20.15675685,79.84324315,8.152615623,44.53059236,55.46940764,79.84324315
6B-mean,6,B,mean,UV Transmitted,4.355356762,1.184188342,1.947936719,19.87220707,6.996922843,14.3318322,40.62458074,10.68697533,23.37381454,76.62618546,10.1290479,45.04358707,54.95641293,76.62618546
6B-dev,6,B,dev,UV Transmitted,0.715208088,0.327516354,0.900742853,1.220882751,0.510896285,0.918468707,3.863463135,2.096750077,2.619331606,2.619331606,1.727259638,3.69601927,3.69601927,2.619331606
6C,6,C,sample,Site Reference,4.89582848,0.687751323,2.18349118,23.14752232,9.407833526,10.58649819,35.62185463,13.46922036,23.36691338,76.63308662,12.27907603,53.79164718,46.20835282,76.63308662
6C-2,6,C,sample,Site Reference,4.171106685,0.761964332,1.82862372,19.18298488,8.354050992,12.20981513,43.20356318,10.28789108,23.41539756,76.58460244,10.94463904,44.58662169,55.41337831,76.58460244
6C-3,6,C,sample,Site Reference,4.707142617,0.771236781,1.562251833,20.87825251,7.863051903,13.66824062,40.93650419,9.613319542,21.47016446,78.52983554,10.19654052,45.39525519,54.60474481,78.52983554
6C-mean,6,C,mean,Site Reference,4.591359261,0.740317478,1.858122244,21.06958657,8.541645473,12.15485131,39.92064067,11.12347699,22.75082513,77.24917487,11.1400852,47.92450802,52.07549198,77.24917487
6C-dev,6,C,dev,Site Reference,0.30698508,0.037362148,0.254476199,1.624160464,0.644453946,1.258716245,3.177479103,1.681397363,0.905780141,0.905780141,0.861350853,4.161807581,4.161807581,0.905780141
7A,7,A,sample,UV Filtered,4.021663545,1.068138274,1.176772183,24.18376346,8.482695236,11.7891267,40.09663485,9.181205753,33.84942672,66.15057328,10.72760569,48.11423845,51.88576155,66.15057328
7A-2,7,A,sample,UV Filtered,3.735158645,0.840864272,1.468420865,21.20904671,6.851632864,14.23520103,42.24395413,9.41572148,26.46275986,73.53724014,9.160918001,43.52084483,56.47915517,73.53724014
7A-3,7,A,sample,UV Filtered,3.965230698,0.782256679,1.357444879,22.25932617,7.792043799,14.27959235,40.33886526,9.22524017,30.36377661,69.63622339,9.931745357,45.3815424,54.6184576,69.63622339
7A-mean,7,A,mean,UV Filtered,3.907350962,0.897086408,1.334212642,22.55071211,7.708790633,13.43464003,40.89315141,9.274055801,30.22532106,69.77467894,9.940089684,45.67220856,54.32779144,69.77467894
7A-dev,7,A,dev,UV Filtered,0.123918823,0.123295764,0.120193014,1.231777648,0.668475595,1.163694757,0.960267283,0.101773051,3.017182936,3.017182936,0.639624787,1.886474903,1.886474903,3.017182936
7B,7,B,sample,UV Transmitted,4.403508509,0.971833755,1.621043271,18.69630495,7.212323515,12.4040551,43.25317573,11.43775516,19.5570658,80.4429342,9.805200542,44.34276917,55.65723083,80.4429342
7B-2,7,B,sample,UV Transmitted,3.857482785,0.926149741,1.237894116,16.2548626,5.726379117,16.92545438,47.48673529,7.585041964,19.90540453,80.09459547,7.890422974,35.58781032,64.41218968,80.09459547
7B-3,7,B,sample,UV Transmitted,5.246425194,1.024999461,1.400587639,17.68870029,6.38897025,16.99788364,43.75295865,7.499474887,19.99709343,80.00290657,8.81455735,39.24915772,60.75084228,80.00290657
7B-mean,7,B,mean,UV Transmitted,4.502472163,0.974327652,1.419841676,17.54662261,6.442557627,15.44246437,44.83095656,8.840757338,19.81985459,80.18014541,8.836726956,39.72657907,60.27342093,80.18014541
7B-dev,7,B,dev,UV Transmitted,0.571335049,0.040393741,0.157011374,1.001765023,0.607816526,2.148683268,1.888970843,1.836687001,0.189552411,0.189552411,0.781861839,3.590104405,3.590104405,0.189552411
7C,7,C,sample,Site Reference,3.500427209,0.497651366,1.50613055,22.07903314,8.942812401,10.3924101,38.4243592,14.65717602,22.2714918,77.7285082,10.94659432,51.18323069,48.81676931,77.7285082
7C-2,7,C,sample,Site Reference,1.384399086,0.184677473,0.627153475,9.783878453,4.225872625,4.70256733,20.32437066,6.070803203,22.15229854,77.84770146,5.037703573,22.27678431,25.02693798,77.84770146
7C-3,7,C,sample,Site Reference,3.304651791,0.380666851,1.309209269,20.65307959,8.224550266,11.5567805,40.37620059,14.19486114,18.85069537,81.14930463,9.914426386,48.06701891,51.93298109,81.14930463
7C-mean,7,C,mean,Site Reference,2.729826029,0.354331897,1.147497764,17.50533039,7.131078431,8.883919312,33.04164348,11.64094679,21.09149524,78.90850476,8.632908092,40.50901131,41.92556279,78.90850476
7C-dev,7,C,dev,Site Reference,0.95471191,0.129120904,0.376619289,5.490837881,2.075112961,2.994630517,9.027705221,3.943205841,1.585231802,1.585231802,2.576879807,12.95474867,12.01666438,1.585231802
8A,8,A,sample,UV Filtered,4.600812677,1.026025569,1.778218561,21.63385221,6.138248517,17.19986378,40.04151368,7.581465001,17.59129033,82.40870967,8.942492648,42.75862254,57.24137746,82.40870967
8A-2,8,A,sample,UV Filtered,4.845379254,1.42225861,2.018271387,20.54192298,6.333216335,18.02921539,40.82498214,5.984753908,23.55813898,76.44186102,9.773746333,41.14580247,58.85419753,76.44186102
8A-3,8,A,sample,UV Filtered,4.252238125,1.051117233,1.717199595,20.43411593,6.095952238,18.68724743,40.54337438,7.218755067,15.52850603,84.47149397,8.864269066,40.76937819,59.23062181,84.47149397
8A-mean,8,A,mean,UV Filtered,4.566143352,1.166467137,1.837896514,20.86996371,6.18913903,17.97210887,40.46995674,6.928324659,18.89264511,81.10735489,9.193502682,41.5579344,58.4420656,81.10735489
8A-dev,8,A,dev,UV Filtered,0.243386622,0.181161725,0.129954222,0.541940847,0.103331009,0.608563004,0.324035305,0.683439315,3.404790207,3.404790207,0.411535136,0.86281045,0.86281045,3.404790207
8B,8,B,sample,UV Transmitted,4.97777174,1.45896061,2.318457021,20.47343595,6.351537465,17.24974047,41.03556619,6.134530549,20.52437055,79.47562945,10.12895509,41.71469333,58.28530667,79.47562945
8B-2,8,B,sample,UV Transmitted,4.9366259,1.748563455,2.028489807,21.12123201,6.533464189,18.06859566,39.69582929,5.867199694,22.27067889,77.72932111,10.31051745,42.23557506,57.76442494,77.72932111
8B-3,8,B,sample,UV Transmitted,5.095595156,1.433700777,1.790441127,20.4263286,5.739114815,18.35892569,41.41048301,5.745410815,18.03057893,81.96942107,8.963256719,40.23059129,59.76940871,81.96942107
8B-mean,8,B,mean,UV Transmitted,5.003330932,1.547074947,2.045795985,20.67366552,6.208038823,17.89242061,40.7139595,5.915713686,20.27520946,79.72479054,9.800909755,41.39361989,58.60638011,79.72479054
8B-dev,8,B,dev,UV Transmitted,0.067368441,0.142846605,0.215908659,0.317061087,0.339795652,0.469646107,0.736017437,0.162519225,1.739956483,1.739956483,0.596930023,0.849433573,0.849433573,1.739956483
8C-1,8,C,sample,Site Reference,4.178588559,0.79612361,1.976576942,23.2303397,11.02352024,13.08088221,39.60981867,6.10415007,30.11238015,69.88761985,13.79622079,47.30929912,52.69070088,69.88761985
8C-2,8,C,sample,Site Reference,4.261987812,0.806516305,1.997488237,22.63798705,10.86780655,13.78834862,39.64750084,5.992364577,26.98146638,73.01853362,13.67181109,46.56415054,53.43584946,73.01853362
8C-3,8,C,sample,Site Reference,3.94089346,0.789712681,2.376432274,23.43990266,10.70622297,13.18452972,39.06508687,6.497219362,29.44349887,70.55650113,13.87236793,47.75038341,52.24961659,70.55650113
8C-mean,8,C,mean,Site Reference,4.12715661,0.797450865,2.116832484,23.10274314,10.86584992,13.35125352,39.44080213,6.197911337,28.8457818,71.1542182,13.78013327,47.20794436,52.79205564,71.1542182
8C-dev,8,C,dev,Site Reference,0.136037568,0.006923951,0.183763179,0.339585846,0.129543456,0.311955981,0.266115827,0.216507074,1.346255186,1.346255186,0.082663443,0.48955197,0.48955197,1.346255186
9A,9,A,sample,UV Filtered,4.37521192,1.129254758,1.455150971,25.91627238,11.25344558,8.656923075,35.12798854,12.08575278,29.68740722,70.31259278,13.83785131,56.21508838,43.78491162,70.31259278
9A-2,9,A,sample,UV Filtered,4.698520033,1.396204108,1.70109558,22.90379331,8.750641798,9.817527649,43.27207359,7.460143933,27.52213812,72.47786188,11.84794149,46.91039876,53.08960124,72.47786188
9A-3,9,A,sample,UV Filtered,4.854238963,1.253960587,1.494990621,22.41659236,8.159387308,13.88841932,41.67391589,6.258494953,28.68032935,71.31967065,10.90833852,44.4376648,55.5623352,71.31967065
9A-mean,9,A,mean,UV Filtered,4.642656972,1.259806484,1.550412391,23.74555268,9.387824894,10.78762335,40.02465934,8.601463888,28.62995823,71.37004177,12.19804377,49.18771731,50.81228269,71.37004177
9A-dev,9,A,dev,UV Filtered,0.199511467,0.109059983,0.107783323,1.547763803,1.341094296,2.243204922,3.523404195,2.512129491,0.884684691,0.884684691,1.221321689,5.07060558,5.07060558,0.884684691
9B,9,B,sample,UV Transmitted,5.880592533,1.840421293,2.085722299,22.79870566,8.720136081,11.24016058,39.42905663,8.005204922,28.43452525,71.56547475,12.64627967,49.33078279,50.66921721,71.56547475
9B-2,9,B,sample,UV Transmitted,4.184957313,0.988530979,1.700921407,21.53908598,9.085911435,10.98401777,43.42467589,8.09189923,26.17282866,73.82717134,11.77536382,45.59130634,54.40869366,73.82717134
9B-3,9,B,sample,UV Transmitted,4.468744335,1.001130016,1.466016448,20.54818888,8.082009447,13.79844604,45.11520298,5.520261853,25.02836093,74.97163907,10.54915591,41.08635098,58.91364902,74.97163907
9B-mean,9,B,mean,UV Transmitted,4.844764727,1.276694096,1.750886718,21.62866017,8.629352321,12.00754146,42.65631183,7.205788668,26.54523828,73.45476172,11.65693313,45.3361467,54.6638533,73.45476172
9B-dev,9,B,dev,UV Transmitted,0.741547122,0.398648507,0.255448931,0.920950267,0.414838176,1.270670866,2.384093479,1.192372833,1.41527513,1.41527513,0.860233064,3.370607638,3.370607638,1.41527513
9C (outlier),9,C,sample,Site Reference,3.897105405,0.578784043,1.494464867,27.83990271,11.84206593,8.169125618,34.34422359,11.83432784,26.48799456,73.51200544,13.91531484,57.48665079,42.51334921,73.51200544
